datetime,open,high,low,close,volume
2026-02-16 13:30:00,1.36309,1.36314,1.36289,1.36304,0
2026-02-16 13:45:00,1.36305,1.36392,1.36305,1.36333,0
2026-02-16 14:00:00,1.36333,1.36403,1.3633,1.3638,0
2026-02-16 14:15:00,1.3638,1.36386,1.3634,1.36379,0
2026-02-16 14:30:00,1.36377,1.364,1.36304,1.3631,0
2026-02-16 14:45:00,1.36311,1.3636,1.36304,1.36359,0
2026-02-16 15:00:00,1.3636,1.36382,1.36327,1.3634,0
2026-02-16 15:15:00,1.3634,1.36372,1.36339,1.36357,0
2026-02-16 15:30:00,1.36356,1.36363,1.36312,1.3632,0
2026-02-16 15:45:00,1.3632,1.36334,1.36282,1.36331,0
2026-02-16 16:00:00,1.36327,1.36352,1.36291,1.36322,0
2026-02-16 16:15:00,1.36322,1.36323,1.36259,1.36309,0
2026-02-16 16:30:00,1.36309,1.36323,1.36296,1.36319,0
2026-02-16 16:45:00,1.36319,1.3632,1.36268,1.36287,0
2026-02-16 17:00:00,1.36287,1.36301,1.3627,1.36291,0
2026-02-16 17:15:00,1.36291,1.36304,1.36274,1.36282,0
2026-02-16 17:30:00,1.36282,1.36293,1.36262,1.36278,0
2026-02-16 17:45:00,1.36278,1.36292,1.36268,1.36272,0
2026-02-16 18:00:00,1.36272,1.36295,1.36265,1.36292,0
2026-02-16 18:15:00,1.36291,1.36305,1.36289,1.36302,0
2026-02-16 18:30:00,1.36302,1.36313,1.363,1.36304,0
2026-02-16 18:45:00,1.36303,1.36308,1.36288,1.36291,0
2026-02-16 19:00:00,1.36291,1.36312,1.36289,1.36307,0
2026-02-16 19:15:00,1.36308,1.36314,1.36306,1.36313,0
2026-02-16 19:30:00,1.36313,1.36332,1.36309,1.36311,0
2026-02-16 19:45:00,1.36312,1.36324,1.36309,1.36323,0
2026-02-16 20:00:00,1.36323,1.36323,1.36299,1.3631,0
2026-02-16 20:15:00,1.3631,1.36317,1.36308,1.36314,0
2026-02-16 20:30:00,1.36315,1.36323,1.36302,1.36313,0
2026-02-16 20:45:00,1.36313,1.36314,1.36303,1.36303,0
2026-02-16 21:00:00,1.36303,1.36305,1.3629,1.36293,0
2026-02-16 21:15:00,1.36293,1.36302,1.36293,1.363,0
2026-02-16 21:30:00,1.363,1.36301,1.36256,1.3626,0
2026-02-16 21:45:00,1.3626,1.36304,1.3626,1.36292,0
